City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Siddapur,IN,14.3333,74.8833,69.64,96,100,3.78,overcast clouds
292,Avera,US,33.194,-82.5271,82.27,83,100,14.74,overcast clouds
293,Wewak,PG,-3.5534,143.6268,82.35,77,100,9.48,overcast clouds
294,Zhanaozen,KZ,43.3,52.8,79.3,19,0,3.78,clear sky
295,Champerico,GT,14.3,-91.9167,82.35,77,100,3.06,overcast clouds
296,Waynesville,US,35.4887,-82.9887,71.67,82,36,5.01,moderate rain
297,Sabang,ID,5.8933,95.3214,82.24,70,91,19.04,overcast clouds
298,Ahipara,NZ,-35.1667,173.1667,61.11,68,3,13.78,clear sky
299,Lazaro Cardenas,MX,17.9583,-102.2,82.53,80,80,6.55,broken clouds
300,Vostok,RU,46.4856,135.8833,72.7,29,78,3.71,broken clouds
301,Xuddur,SO,4.1213,43.8894,68.05,86,4,15.41,clear sky
302,Kavaratti,IN,10.5669,72.642,82.53,76,75,21.54,broken clouds
303,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.41,86,28,2.04,scattered clouds
304,Yabrud,SY,33.9674,36.6574,55.53,69,0,3.0,clear sky
305,Santa Maria,BR,-29.6842,-53.8069,50.79,97,40,4.12,scattered clouds
306,Fort Saint James,CA,54.4333,-124.25,81.48,28,65,9.48,broken clouds
307,Frome,GB,51.2283,-2.3221,54.82,91,100,13.35,overcast clouds
308,Severo-Yeniseyskiy,RU,60.3725,93.0408,47.07,91,96,6.22,overcast clouds
309,Broken Hill,AU,-31.95,141.4333,55.8,54,100,18.61,overcast clouds
310,College,US,64.8569,-147.8028,71.55,71,75,5.75,broken clouds
311,Meridian,US,43.6121,-116.3915,98.17,21,1,1.01,clear sky
312,Altay,CN,47.8667,88.1167,65.26,33,75,3.2,broken clouds
313,Tessalit,ML,20.1986,1.0114,91.51,13,5,10.11,clear sky
314,Norman Wells,CA,65.282,-126.8329,53.65,96,100,10.0,light rain
315,Alekseyevka,RU,50.6309,38.6903,65.32,79,7,8.52,clear sky
316,Florianopolis,BR,-27.6146,-48.5012,61.43,94,75,1.14,light rain
317,Georgetown,MY,5.4112,100.3354,80.89,82,20,0.0,few clouds
318,Jieshi,CN,22.8134,115.8257,82.94,85,100,7.34,light rain
319,Jalakandapuram,IN,11.6978,77.873,77.54,79,100,0.92,moderate rain
320,Sesheke,ZM,-17.4759,24.2968,49.8,68,7,5.14,clear sky
321,Meulaboh,ID,4.1363,96.1285,75.51,89,100,6.62,overcast clouds
322,Leningradskiy,RU,69.3833,178.4167,48.49,62,10,12.5,clear sky
323,Cantagallo,CO,7.376,-73.9196,77.7,86,98,2.06,overcast clouds
324,Acarau,BR,-2.8856,-40.12,78.15,80,6,13.24,clear sky
325,Asosa,ET,10.0667,34.5333,62.71,79,100,5.95,light rain
326,Sattahip,TH,12.6664,100.9007,90.16,74,20,3.44,few clouds
327,Roald,NO,62.5833,6.1333,54.16,93,75,2.3,broken clouds
328,Ipixuna,BR,-1.7625,-48.8043,75.15,96,5,2.93,light rain
329,Impfondo,CG,1.6381,18.0667,70.97,98,100,3.91,light rain
330,Shelburne,CA,44.0787,-80.2041,58.57,84,100,17.98,overcast clouds
331,Chapais,CA,49.7834,-74.8492,49.78,96,100,12.95,overcast clouds
332,Bethel,US,41.3712,-73.414,77.88,83,54,5.95,broken clouds
333,Ust-Nera,RU,64.5667,143.2,62.73,37,76,5.39,broken clouds
334,Hamilton,US,39.1834,-84.5333,70.12,81,90,1.01,overcast clouds
335,Saint-Ambroise,CA,48.5501,-71.3324,68.32,94,0,8.32,clear sky
336,Srednekolymsk,RU,67.45,153.6833,71.94,31,72,6.53,broken clouds
337,Nouadhibou,MR,20.931,-17.0347,67.33,85,0,19.86,clear sky
338,Port Hedland,AU,-20.3167,118.5667,57.25,77,5,8.05,clear sky
339,Ornskoldsvik,SE,63.2909,18.7153,58.82,100,90,3.44,light intensity drizzle
340,Niquero,CU,20.0431,-77.5828,80.62,80,12,4.18,light rain
341,Deputatskiy,RU,69.3,139.9,65.91,31,5,20.67,clear sky
